267,DSGX,The Descartes Systems Group Inc.,8.17B,95.72,-3.83%,587.67M
268,OLED,Universal Display Corporation,8.17B,172.28,-18.99%,611.22M
269,ITCI,"Intra-Cellular Therapies, Inc.",8.16B,77.3,-2.15%,513.93M
270,ESLT,Elbit Systems Ltd.,8.06B,181.2,-1.02%,6.14B
271,ENSG,"The Ensign Group, Inc.",7.97B,139.6,0.04%,3.97B
272,AFRM,"Affirm Holdings, Inc.",7.96B,25.77,-2.46%,2.11B
273,APPF,"AppFolio, Inc.",7.95B,210.59,-2.36%,722.08M
274,CBSH,"Commerce Bancshares, Inc.",7.90B,61,-2.90%,1.55B
275,PARAA,Paramount Global,7.79B,22.5,-1.14%,30.07B
276,PARA,Paramount Global,7.78B,11,-0.99%,30.07B
277,OTEX,Open Text Corporation,7.77B,28.49,-6.56%,5.90B
278,LSXMB,Liberty SiriusXM Group - Series B,7.77B,22.96,-,-
279,ROIV,Roivant Sciences Ltd.,7.77B,10.51,-1.04%,124.80M
280,WFRD,Weatherford International plc,7.73B,105.67,-5.58%,5.44B
281,IEP,Icahn Enterprises L.P.,7.72B,17.1,-2.40%,10.67B
282,CZR,"Caesars Entertainment, Inc.",7.71B,35.66,-4.55%,11.39B
283,AGNC,AGNC Investment Corp.,7.71B,10.06,-0.20%,877.00M
284,ROKU,"Roku, Inc.",7.66B,53.14,-3.96%,3.63B
285,FSV,FirstService Corporation,7.66B,170.33,-1.85%,4.65B
286,GTLB,GitLab Inc.,7.58B,47.71,-1.55%,622.22M
287,MIDD,The Middleby Corporation,7.57B,140.72,-2.52%,3.96B
288,UFPI,"UFP Industries, Inc.",7.53B,121.98,-3.34%,7.03B
289,ASND,Ascendis Pharma A/S,7.49B,132.26,-3.13%,357.63M
290,CROX,"Crocs, Inc.",7.49B,123.31,-5.73%,4.02B
291,SPSC,"SPS Commerce, Inc.",7.44B,200.56,-4.02%,583.80M
292,DBX,"Dropbox, Inc.",7.43B,22.5,-3.10%,2.52B
293,SMMT,Summit Therapeutics Inc.,7.31B,10.42,-2.30%,-
294,RVMD,"Revolution Medicines, Inc.",7.26B,44,-2.81%,4.57M
295,HLNE,Hamilton Lane Incorporated,7.21B,133.07,-5.07%,553.84M
296,LCID,"Lucid Group, Inc.",7.20B,3.12,-4.59%,618.58M
297,IONS,"Ionis Pharmaceuticals, Inc.",7.17B,49.13,-4.27%,776.62M
298,MKSI,"MKS Instruments, Inc.",7.16B,106.56,-7.14%,3.70B
299,LBTYB,Liberty Global plc,7.15B,19.7,-,7.59B
300,JAZZ,Jazz Pharmaceuticals plc,7.14B,113.26,-0.98%,3.84B
301,VNOM,Viper Energy Partners LP,7.12B,40.25,-3.98%,864.13M
302,AMKR,"Amkor Technology, Inc.",7.05B,28.63,-4.60%,6.40B
303,LBTYA,Liberty Global plc,7.05B,18.99,-0.94%,7.59B
304,EXEL,"Exelixis, Inc.",7.04B,24.17,-0.21%,1.85B
305,LBTYK,Liberty Global plc,7.04B,19.55,-1.06%,7.59B
306,SOFI,"SoFi Technologies, Inc.",7.03B,6.65,-7.12%,2.30B
307,HCP,"HashiCorp, Inc.",7.03B,33.67,-0.27%,605.73M
308,LSXMA,Liberty SiriusXM Group - Series A,7.02B,21.48,-2.78%,-
309,MTSI,"MACOM Technology Solutions Holdings, Inc.",7.00B,97.13,-2.53%,637.28M
310,LSXMK,Liberty SiriusXM Group - Series C,7.00B,21.43,-2.72%,-
311,DRS,"Leonardo DRS, Inc.",6.99B,27.67,-0.22%,3.07B
312,DUOL,"Duolingo, Inc.",6.99B,162.01,-1.51%,583.00M
313,ETSY,"Etsy, Inc.",6.94B,59.35,-1.35%,2.75B
314,AAON,"AAON, Inc.",6.94B,85.78,-1.30%,1.16B
315,ZION,"Zions Bancorporation,NA",6.91B,46.78,-3.78%,2.92B
316,GNTX,Gentex Corporation,6.90B,29.85,-2.00%,2.34B
317,BPOP,"Popular, Inc.",6.89B,95.27,-3.39%,2.57B
318,HALO,"Halozyme Therapeutics, Inc.",6.88B,54.09,-1.74%,862.99M
319,ALTR,Altair Engineering Inc.,6.87B,82.79,-2.97%,619.58M
320,PNFP,"Pinnacle Financial Partners, Inc.",6.82B,88.26,-4.10%,1.61B
321,LNTH,"Lantheus Holdings, Inc.",6.76B,97.59,-1.04%,1.44B
322,WSC,WillScot Mobile Mini Holdings Corp.,6.72B,35.5,-10.83%,2.39B
323,ACHC,"Acadia Healthcare Company, Inc.",6.71B,72.37,-2.32%,2.99B
324,CYTK,"Cytokinetics, Incorporated",6.70B,57.14,-1.33%,3.75M
325,CIGI,Colliers International Group Inc.,6.66B,136.22,-2.91%,4.37B
326,FYBR,"Frontier Communications Parent, Inc.",6.61B,26.6,-7.86%,5.76B
327,ALAB,"Astera Labs, Inc.",6.60B,42.38,4.77%,163.39M
328,CGNX,Cognex Corporation,6.56B,38.22,-2.20%,847.22M
329,LSTR,"Landstar System, Inc.",6.54B,184.59,-1.18%,4.89B
330,BILI,Bilibili Inc.,6.51B,15.5,1.77%,3.21B
331,TEM,"Tempus AI, Inc.",6.44B,39.05,-0.60%,562.02M
332,MAT,"Mattel, Inc.",6.43B,18.92,-1.30%,5.43B
333,CCCS,CCC Intelligent Solutions Holdings Inc.,6.37B,10.22,-,909.60M
334,OS,"OneStream, Inc.",6.34B,27.49,-1.01%,406.39M
335,AAL,American Airlines Group Inc.,6.32B,9.63,-5.03%,53.45B
336,SAIC,Science Applications International Corporation,6.30B,123.03,-0.24%,7.26B
337,BOKF,BOK Financial Corporation,6.25B,96.92,-1.85%,1.95B
338,WTFC,Wintrust Financial Corporation,6.21B,100.62,-4.25%,2.20B
339,HQY,"HealthEquity, Inc.",6.21B,71.41,-8.30%,1.04B
340,LSCC,Lattice Semiconductor Corporation,6.21B,45.08,-6.96%,627.66M
341,BZ,Kanzhun Limited,6.17B,13.4,-1.11%,885.87M
342,CRUS,"Cirrus Logic, Inc.",6.13B,114.73,-5.28%,1.79B
343,CFLT,"Confluent, Inc.",6.13B,19.29,-6.52%,865.59M
344,LFUS,"Littelfuse, Inc.",6.13B,247.1,-4.49%,2.29B
345,BPMC,Blueprint Medicines Corporation,6.06B,96.72,-3.56%,282.21M
346,CHX,ChampionX Corporation,6.05B,31.77,-3.93%,3.70B
347,REYN,Reynolds Consumer Products Inc.,6.03B,28.68,1.59%,3.71B
348,CWST,"Casella Waste Systems, Inc.",6.02B,105.46,3.10%,1.34B
349,NXT,Nextracker Inc.,6.01B,41.98,-10.36%,2.50B
350,AUR,"Aurora Innovation, Inc.",6.01B,3.84,-5.65%,-
351,CVLT,"Commvault Systems, Inc.",5.97B,136.68,-7.18%,865.77M
352,GRFS,"Grifols, S.A.",5.97B,7.58,-0.79%,7.32B
353,RCM,R1 RCM Inc.,5.92B,14.05,-0.57%,2.31B
354,ONB,Old National Bancorp,5.91B,18.54,-3.44%,1.75B
355,FRPT,"Freshpet, Inc.",5.91B,122.1,-1.22%,823.22M
356,NSIT,"Insight Enterprises, Inc.",5.91B,181.52,-8.21%,9.23B
357,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",5.90B,96.41,-1.27%,2.10B
